title;rating;runtime;genre;release_year;description;director;img_src;type
A Christmas Miracle for Daisy;;85;Romance;2021;Whitney (Wagner) owns Marietta Designs, an interior-design firm which she runs with her friend Andi (Tegan Moss). She's designing Santa's float for the town's annual Christmas parade when a...                See full summary »;Mike Rohl;https://m.media-amazon.com/images/M/MV5BY2Q1MjgwY2EtNTM0Yi00ODJhLWEzZjItZjkzMDUxMWNmOGRhXkEyXkFqcGdeQXVyMjIzOTA2NDk@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
Chateau Christmas;TV-G;84;Comedy, Drama, Music;2020;World-famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.;Michael Robison;https://m.media-amazon.com/images/M/MV5BMzhjMmI5YWYtNDhjOC00ZmE0LTljNGYtOWU0YWU3YWNlMDFkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Mistle-Tones;TV-PG;90;Comedy, Family, Music;2012;A talented singer forms a musical group and challenges her rivals to a competition on Christmas Eve.;Paul Hoen;https://m.media-amazon.com/images/M/MV5BMTQ2ODYyMzI0N15BMl5BanBnXkFtZTgwMzkzOTAxMzE@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
A Fabled Holiday;TV-G;84;Comedy, Drama, Romance;2022;Talia and her childhood best friend Anderson reunite in a curiously familiar-looking town full of Christmas spirit that restores its visitors when they need it most.;Ruby J. Munro;https://m.media-amazon.com/images/M/MV5BY2E3OGJkZDktOWUxMC00ODFiLTkwNGItYzQ3ZTI0YzYxZGQ4XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Sweetest Christmas;TV-G;90;Comedy, Drama, Romance;2017;Kylie is expecting a proposal from her boyfriend/boss at a restaurant and gets a promotion instead. The restaurant owner is her old high school boyfriend, she hasn't seen in years. They help each other out. Love in the air?;Terry Ingram;https://m.media-amazon.com/images/M/MV5BZTgxM2MzMjEtMjc5OC00NTcwLTljNTMtNzI2ZThhY2FlNjE3XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Christmas Cupid;PG-13;85;Comedy, Fantasy, Romance;2010;A supernatural comedy in which a ruthless PR executive is forced to reconsider her life choices when her number one client suffers an untimely death during the Christmas season.;Gil Junger;https://m.media-amazon.com/images/M/MV5BZWFkMzM5YTctY2Y1YS00MzhlLTg4MjktYmJhYTkxNTk5OTNiL2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
A Christmas Prince: The Royal Wedding;TV-PG;92;Comedy, Drama, Romance;2018;A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?;John Schultz;https://m.media-amazon.com/images/M/MV5BMWVhMTBiOWUtMmI0Ni00NDg1LWFkMmYtNTJkNTkxNWE5OWY5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg;Movie
Small Town Christmas;TV-G;85;Comedy, Drama, Romance;2018;A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.;Maclain Nelson;https://m.media-amazon.com/images/M/MV5BMmU3YjYyZjctYmU2YS00MTllLWJhOGYtNjBhYjRlNGI2OWU1XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
Scrooge;PG;78;Drama, Family, Fantasy;1935;Ebenezer Scrooge is a mean old miser who wants nothing to do with Christmas. The Ghosts of Christmas Past, Present and Yet to Come visit Scrooge on Christmas Eve, taking him on a journey into the very spirit and magic of Christmas itself.;Henry Edwards;https://m.media-amazon.com/images/M/MV5BNmQ3MzAxZjgtYTM5YS00YWNkLWE3ZTMtMGI4YWJiMWFmMDY3XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY209_CR2,0,140,209_AL_.jpg;Movie
A Christmas Wish;TV-PG;90;Comedy, Drama, Family;2019;Maddie slips in a wish that her sister Faith will experience true love for the first time. The next day, Faith meets seemingly-perfect Andrew, but is he really the one for her?;Emily Moss Wilson;https://m.media-amazon.com/images/M/MV5BNmMwZDdjNDItZDk0Zi00YjNiLThlZDktMDlmNzNiN2YyNzE1XkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UY209_CR0,0,140,209_AL_.jpg;Movie
Jingle Bell Princess;;84;Romance;2021;"Through a series of mishaps, sophisticated Princess Amelia is stranded in the small town of Tucker, Maine. There she becomes an ""ordinary"" guest of the unsuspecting Cutler family.";Don McBrearty;https://m.media-amazon.com/images/M/MV5BNTE0NWZjODktN2I5My00YjFhLTkzNDEtOTkxZmYwNWJhMjIzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
A Shoe Addict's Christmas;TV-G;85;Fantasy, Romance;2018;Noelle's life stopped when her boyfriend broke up with her on Christmas Eve three years ago. A handsome fireman moves in above her. She gets locked in at work in a department store all alone save the ghost of Christmas past.;Michael Robison;https://m.media-amazon.com/images/M/MV5BY2U0MzVlMDMtZWFjNy00ZDVlLTgwNDgtMzY3OTdmYWZiMzEyXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Falling for Christmas;TV-G;87;Drama, Romance, Sport;2016;An injured figure skater is sent to the mountains to recover from an injury. Once there, she meets an ex-hockey player and his young daughter and begins to realize that something is missing from her life.;Christie Will Wolf;https://m.media-amazon.com/images/M/MV5BNmJjODA0YjItMDBlMy00NzA5LTk4ODQtNzhkMzZmNDZkMThjXkEyXkFqcGdeQXVyMzE1MDA4Nw@@._V1_UY209_CR11,0,140,209_AL_.jpg;Movie
Debbie Macomber's Dashing Through the Snow;Not Rated;83;Comedy, Family, Romance;2015;Stranded at an airport at Christmastime, Ashley Jane Harrison accepts a ride from Dash Sutherland, who has just rented the last car in town. As the pair heads north, their adventures include car trouble.;Kristoffer Tabori;https://m.media-amazon.com/images/M/MV5BODllYzk0MWEtM2E0Yy00Y2I2LTk1NDEtMGYxYTFiNGViNWQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Flight Before Christmas;TV-PG;88;Comedy, Romance;2015;Two strangers who both happen to be in marketing, share a room at a bed-and-breakfast when a snowstorm strands their flight in Montana on Christmas Eve.;Peter Sullivan;https://m.media-amazon.com/images/M/MV5BM2YyNzJjMTEtODg2Mi00YzAxLWI2YzktY2M4MjVjMTM5ZDY5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Christmas in Evergreen;TV-G;84;Drama, Family, Fantasy;2017;Hoping to spur her longtime beau to action, a small-town veterinarian wishes upon a snow globe that this will be her most romantic Christmas ever.;Alex Zamm;https://m.media-amazon.com/images/M/MV5BOWI1MGMyZTQtMTFmZC00MmE4LTk2OGYtNzg2MTI0ZmExMTlkXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Time for Me to Come Home for Christmas;TV-G;84;Comedy, Drama, Music;2018;When strangers Cara and Heath are stranded before Christmas, they embark on an unexpected journey that may give them the miracles they've been hoping for.;David Winning;https://m.media-amazon.com/images/M/MV5BNGI4YWQ5MjMtMjMxZS00ZTBiLWE5NGItZWNmYTlkNTcwNGRiXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
A Season for Miracles;G;100;Drama, Romance;1999;A miracle occurs for a homeless family consisting of two children neglected by their incarcerated mother and their protective aunt who is trying to keep them out of the foster system with the help of an angel.;Michael Pressman;https://m.media-amazon.com/images/M/MV5BMmE3MmY4NmMtMzk0OS00YmQ5LWE5OTEtMmNjZGU0ZjVlNmVjXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
The Nine Lives of Christmas;TV-G;86;Comedy, Drama, Family;2014;After a stray cat adopts Zachary, he meets Marilee and realizes the single life is not as fulfilling as he thought it was.;Mark Jean;https://m.media-amazon.com/images/M/MV5BMmE0NDEzOGMtMjZhYS00YTY0LWEzMzQtNTA2MTVkZDNlZGU4XkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Every Christmas Has a Story;TV-G;82;Comedy, Romance;2016;While on air, a TV personality accidentally admits she hates Christmas. When she goes to a small town to film a special to repair her image, the Christmas spirit begins to change her life.;Ron Oliver;https://m.media-amazon.com/images/M/MV5BMjZmOGRlZWEtYjIxOS00MWRmLTkwYWEtNjNmYmRjZWQ4ZWIzXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Christmas Contract;TV-PG;87;Drama, Family, Romance;2018;A recently-single woman dreads the thought of going back to her Louisiana hometown for Christmas when she finds out that her ex-boyfriend will be there with his new girlfriend.;Monika Mitchell;https://m.media-amazon.com/images/M/MV5BYzk2MmYzMjAtNTZhMi00MDgxLThkZWUtZTRmZGZmOTVkMDNlXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
A Christmas Prince: The Royal Baby;TV-PG;84;Family, Romance;2019;It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.;John Schultz;https://m.media-amazon.com/images/M/MV5BY2I2YTZiZWQtNDNmMS00MDY1LTlkNzUtZmI3MDAyMjcwYjZmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg;Movie
Christmas at the Plaza;TV-G;84;Drama, Romance;2019;An archival historian is hired to create a Christmas display at the Plaza Hotel and is paired with a handsome Christmas decorator to bring it to life.;Ron Oliver;https://m.media-amazon.com/images/M/MV5BMzY5OTViYWUtNDI1Yy00MWE0LTg3N2MtYjhiOTNkOGEwOTMzXkEyXkFqcGdeQXVyNDY2NDU1MzA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Northpole: Open for Christmas;TV-G;83;Drama, Family, Fantasy;2015;When Mackenzie inherits her aunt's once-majestic inn, she decides to sell it. But fixing up the rundown place is more challenging than she had anticipated. Then the magic of Christmas intervenes, with unexpected help from Santa's elves.;Douglas Barr;https://m.media-amazon.com/images/M/MV5BYWE2Y2Y2NDEtZjBkZS00NWZlLWI4ZWUtYWJhNmE4ODFjNzJmXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Saving Christmas Spirit;;90;Comedy, Drama, Romance;2022;An archaeologist discovers the importance of letting a little festive wonder back into her life and finds both history and love.;Wendy Faraone;https://m.media-amazon.com/images/M/MV5BOWY2NDk4YmMtNmVjNS00MjdmLWFmMmItNTE5NWQxNGNjMDFmXkEyXkFqcGdeQXVyMzE4NzE1NTc@._V1_UY209_CR1,0,140,209_AL_.jpg;Movie
A Royal Christmas Crush;TV-G;120;Romance;2023;Ava accepts the opportunity of a lifetime to work at the Royal Ice Hotel which leads her to a surprise whirlwind romance with the most important guest of all, the Royal Prince himself.;Marita Grabiak;https://m.media-amazon.com/images/M/MV5BMjZkM2QzMzItOWIyZi00NzkwLWJjNzUtM2YzOTUxOTU0N2Y0XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Twas the Night Before Christmas;TV-G;84;Comedy, Drama, Family;2022;"Follow a former actress as she needs to take charge of a town's annual Christmas Eve courtroom production debating the true authorship of the poem ""A Visit from St. Nick"".";Gary Yates;https://m.media-amazon.com/images/M/MV5BMGMwZTcxZTItYWFkYS00ZjFiLTkxZjUtZWFiYzNkZGYyNDk0XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Christmas Getaway;TV-G;90;Comedy, Drama, Romance;2017;A travel writer takes a Christmas vacation, but finds herself double-booked with a widower, his mother, and his daughter at the holiday site.;Mel Damski;https://m.media-amazon.com/images/M/MV5BZWUzN2RmMzEtYmZhMy00OGJmLWEzZDYtNTRlOWY0ZjEyZTIyXkEyXkFqcGdeQXVyNjc2NTQzMjU@._V1_UY209_CR1,0,140,209_AL_.jpg;Movie
Christmas Incorporated;TV-G;85;Comedy, Drama, Romance;2015;Riley lands herself a new job via a case of mistaken identity, and her first assignment is to accompany her new boss on a trip to save a failing toy factory.;Jonathan Wright;https://m.media-amazon.com/images/M/MV5BMDUxMzNmMDItZGZjYy00MzRjLWJmYTYtMjg3ZTM3MTMzNGU3XkEyXkFqcGdeQXVyNjE4MjY2MDg@._V1_UY209_CR3,0,140,209_AL_.jpg;Movie
A Dash of Christmas;;83;Romance;2023;To get her dream job at a foodie startup, Megan needs to learn how to bake, and she recruits bakery owner Aaron to help her.;Robin Dunn;https://m.media-amazon.com/images/M/MV5BZGZmZDEzYTItZTc1Zi00Mzg3LTk1YWQtMTU0ZjVkZDlmMzZmXkEyXkFqcGdeQXVyMTg5OTc1NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
A Glenbrooke Christmas;TV-G;85;Drama, Romance;2020;As Christmas nears, heiress Jessica Morgan seizes what seems like her last chance to experience a relaxed Christmas and heads off to the small town of Glenbrooke, where she meets a handsome fireman.;David I. Strasser;https://m.media-amazon.com/images/M/MV5BNjJlZTk0OTYtNDZlNy00MjhjLThhNWMtY2NhZWM1OTkyN2YwXkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Northpole;G;81;Drama, Family, Fantasy;2014;When a loss of togetherness spreads across the globe and threatens the existence of Santa's Northpole, a little boy named Kevin is called upon to save the day.;Douglas Barr;https://m.media-amazon.com/images/M/MV5BMjllNjEyYWUtMzEzMy00OGE0LWEzZDktZjViYjY0MDRhNmI0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
Christmas Again;;94;Adventure, Comedy, Family;2021;After a disastrous celebration, 12-year-old Rowena makes a wish and unexpectedly finds herself reliving Christmas Day over and over again.;Andy Fickman;https://m.media-amazon.com/images/M/MV5BNThjODM2MWQtZDIxNC00NzRkLTlmYzctMzMxYjNmYzE2MTRiXkEyXkFqcGdeQXVyMTE5MTkxMDI2._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
The Thin Man;TV-PG;91;Comedy, Crime, Mystery;1934;Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.;W.S. Van Dyke;https://m.media-amazon.com/images/M/MV5BY2FlMDAxZjItNzFhNS00ZDJlLWE4ZjAtOTkyMTJlODZkYjUwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
A World Record Christmas;;84;Comedy, Drama, Romance;2023;An autistic boy attempts to break a world record on Christmas Eve, uniting his family and community in the process. Inspired by real events.;Jason Bourque;https://m.media-amazon.com/images/M/MV5BN2Q5NTlhNTUtZDNmYy00ZDdmLTg3OGItNjAyYWMyN2I0NTYyXkEyXkFqcGdeQXVyMjg1NDk2OA@@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Holly and the Ivy;Approved;80;Drama;1952;A heartwarming tale of an English minister and his family reunited at Christmas time. Their story includes a remembrance of their World War II trials.;George More O'Ferrall;https://m.media-amazon.com/images/M/MV5BZDgwMTNkOTEtNTY0Zi00YzNkLWIzMWUtMWVhZGY5NmE5YTMxXkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Merry Swissmas;TV-PG;88;Comedy, Drama, Romance;2022;When Alex returns home to spend Christmas with her mother, she discovers that her ex-boyfriend and her best friend, who are now dating, are also visiting.;John L'Ecuyer;https://m.media-amazon.com/images/M/MV5BOTIyOGE3MzgtNDY5Ny00ODFjLTk1YmYtYjQyMjAzNjk0YWRiXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg;Movie
Sister Swap: A Hometown Holiday;TV-G;83;Romance;2021;A widow attempts to reopen her late-uncle's old dilapidated small town movie theater for one last Christmas screening.;Sean McNamara;https://m.media-amazon.com/images/M/MV5BMzYyOGFlZDQtMTRjZS00Y2I4LWFhZjItZTBlNzdkOWE1N2QxXkEyXkFqcGdeQXVyNDEzMjAyNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Christmas Setup;TV-PG;85;Drama, Romance;2020;As they enjoy the local holidays together, Hugo and Patrick's attraction to each other is undeniable but as Hugo receives word of a big promotion requiring a move to London, he must decide what is most important to him.;Pat Mills;https://m.media-amazon.com/images/M/MV5BYWUyZjg2NjktZjg2Mi00Njc3LTkyMzQtZjlhNzgwNmM3ODI5XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
A Royal Christmas Ball;TV-PG;86;Drama, Romance;2017;A bachelor king tries to reconnect with his old college sweetheart.;David DeCoteau;https://m.media-amazon.com/images/M/MV5BZjUzMGQ5OTEtYjQzNi00NzI3LThhOTYtMzNhNTRlNWIxZmVjXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
A Christmas Frequency;;;Romance;2023;A young radio show producer sets her recently-separated boss up on live-on air blind dates to save their dying show but accidentally falls for one of the contenders and must choose her head or her heart in time for Christmas.;Lindsay Hartley;https://m.media-amazon.com/images/M/MV5BMWYyZTUzZTItOGE4OC00NmQ4LWJmOTgtZDYwMzBlODM3ZjA2XkEyXkFqcGdeQXVyMTE1MjU4NjU5._V1_UY209_CR0,0,140,209_AL_.jpg;Movie
A Christmas to Treasure;TV-G;89;Comedy, Romance;2022;The passing of a beloved old neighbor reunites six friends for a hometown holiday treasure hunt, where sparks fly once again between brand strategist Austin and his former best friend Everett.;Jake Helgren;https://m.media-amazon.com/images/M/MV5BMTRjZDUzYmQtODQ0NS00YmIwLTk4ZWMtYTE3YzYwZDU2ZDg1XkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UY209_CR1,0,140,209_AL_.jpg;Movie
Silent Night;TV-PG;100;Biography, Drama, War;2002;In a cabin in a WWII front, a German mom with a son mediates a truce between 3 German and 3 American soldiers so they can all celebrate Christmas Eve 1944 together.;Rodney Gibbons;https://m.media-amazon.com/images/M/MV5BMWZkMzA5MTAtZjdiMi00MTZlLWExYzEtYTYyYTk5ZTIyMDA1L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR5,0,140,209_AL_.jpg;Movie
A Cinderella Christmas;Unrated;93;Comedy, Romance;2016;After a wealthy celebrity falls in love with a mystery woman at his Christmas masquerade ball, he attempts to discover her true identity.;Tosca Musk;https://m.media-amazon.com/images/M/MV5BN2I0Yjk4MWUtYjJkNS00ZTdhLWFhYWUtMWE2OGQwNWFhMTg2XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
A Christmas in Tennessee;TV-PG;87;Drama, Family, Romance;2018;A real estate development consultant attempts to sweet-talk the owner of a small town bakery shop into selling her property.;Gary Yates;https://m.media-amazon.com/images/M/MV5BYWI0MjMxMTYtNTMwOC00NjU5LWI5YmUtYTM3NzQ2YThkYzAzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg;Movie
The Christmas Note;Not Rated;85;Drama, Mystery;2015;After moving into a new house, a woman befriends her next-door neighbor and helps her track down a mystery sibling she never knew she had.;Terry Ingram;https://m.media-amazon.com/images/M/MV5BMzQzNjM4MTg0NV5BMl5BanBnXkFtZTgwMTc4NDY3NzE@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Christmas on Honeysuckle Lane;PG;100;Drama, Romance;2018;Emma returns home to celebrate Christmas for the last time with her siblings in the house they grew up in. After their parents' recent passing, the siblings reluctantly agree to sell the family home on Honeysuckle Lane.;Maggie Greenwald;https://m.media-amazon.com/images/M/MV5BODg1NTIyNDEtOWUwYS00MWViLTg5NjItYjQ4ZGVlM2FkMjFiXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Santa's Got Style;;90;Comedy, Romance;2022;Follows Madison, a department store executive who takes the idea to hire a young Santa with fashionable style instead of a classic one, but she can't find the right model, until her best friend Ethan decides to be the Santa of her dreams.;Amy Force;https://m.media-amazon.com/images/M/MV5BZDdjNjViNWMtYjEyMS00OTkwLTljNWUtMTQ0NDhlOTBlYjAyXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR2,0,140,209_AL_.jpg;Movie
Hitched for the Holidays;TV-PG;87;Drama, Romance;2012;An attractive pair agrees to be each other's supposed significant other throughout the holidays to keep their meddling families at bay.;Michael M. Scott;https://m.media-amazon.com/images/M/MV5BZDcxZjBkMWUtZTM2ZS00Y2U2LTlhMmMtNzFkODFjZDNlOWMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Making Spirits Bright;TV-G;84;Drama, Romance;2021;Grace and Tony are from two separate families who are in the business of decorating homes for Christmas. Unfortunately they have also been in feud for as long as anyone can remember. But ...                See full summary »;David Bercovici-Artieda;https://m.media-amazon.com/images/M/MV5BZDJmMjk1MTItZjM4MS00OGFlLTlhZTUtMzAxNzdjMGY5OTYwXkEyXkFqcGdeQXVyMTYwODk0Ng@@._V1_UY209_CR11,0,140,209_AL_.jpg;Movie
A December Bride;TV-G;86;Comedy, Romance;2016;A holiday wedding brings no joy to the bride's cousin, who was literally left by the groom right at the altar. But she might find her true love there when she gains a fake fiancé.;David Winning;https://m.media-amazon.com/images/M/MV5BNDNjM2JlZjktYjYxNy00NmRlLTgxMGMtZjM3NThjYzM5Y2FkXkEyXkFqcGdeQXVyODE4NjAwNjk@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Christmas in Tune;TV-PG;87;Drama, Romance;2021;The story of Belle, a marketing executive who is worried that she might lose her job.;Emily Moss Wilson;https://m.media-amazon.com/images/M/MV5BYTViNTBhYTQtZjRjNS00MTkxLTg5MjgtZTg3ZTU4ZTA2MDFjXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Dear Christmas;TV-G;86;Comedy, Drama, Romance;2020;Natalie has a hit podcast based on love, but she isn't so expert at finding it herself until Chris Massey enters her life and shakes things up. Not to mention his name.;Emily Moss Wilson;https://m.media-amazon.com/images/M/MV5BYzEyYTdjNGItNTA5Mi00MDczLTkxZTAtYjU5NjFhMjM3ZmRjXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Little Women;Approved;122;Drama, Family, Romance;1949;The four daughters of a New England family fight for happiness during and after the Civil War.;Mervyn LeRoy;https://m.media-amazon.com/images/M/MV5BMzg3YjBkYTMtNzUyNy00Y2MwLWJhZTktNDRmMmRhOTMyMjhhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
A Royal Christmas;TV-G;90;Comedy, Family, Romance;2014;Prince Leopold, heir to the throne of Cordinia, wishes to marry his young love Emily Taylor, a humble seamstress from Philadelphia. But Leopold's mother, Queen Isadora has other plans for her son.;Alex Zamm;https://m.media-amazon.com/images/M/MV5BZTMwMGJlNTItM2NiMy00MWYzLWFiNjYtYzVkY2Q3MDAyOWI5XkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Journey Back to Christmas;TV-G;84;Drama, Family, Fantasy;2016;A WWII-era nurse is transported in time to 2016 and meets a man who helps her discover the bonds of family and that the true meaning of Christmas is timeless.;Mel Damski;https://m.media-amazon.com/images/M/MV5BY2Y2ODQyMGYtNzc3Ny00YzMyLWJmMDEtZWZlYzBjZTU5MjM0XkEyXkFqcGdeQXVyODE4NjAwNjk@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Christmas by Starlight;TV-G;84;Comedy, Drama, Romance;2020;When her family's beloved café is slated for demolition, Annie vows to put a stop to it before Christmas.;Gary Yates;https://m.media-amazon.com/images/M/MV5BNjI5ZjJkOTgtYThjMi00ZGVjLWJjZjEtYmY1MjhkNzM1Mzk0XkEyXkFqcGdeQXVyMjQ3NTEwMzE@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Mistletoe Promise;TV-G;84;Comedy, Drama, Family;2016;Two self-confessed 'Christmasphobes' sign a contract which will mutually benefit them over the holiday season.;David Winning;https://m.media-amazon.com/images/M/MV5BZDIwZWJhMDYtZjU5My00YzFjLWIwOTEtODg2MDZkOWJiNjI2XkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Christmas Shepherd;TV-G;84;Drama, Romance;2014;The search for a missing dog leads to a new romance.;Terry Ingram;https://m.media-amazon.com/images/M/MV5BNTJjNTY4YmMtYTMyYy00NWUxLWJlYWUtMjAwOTkxM2ViYmI3XkEyXkFqcGdeQXVyMTIxOTk5MzY@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Christmas Wonderland;TV-G;120;Comedy, Drama, Romance;2018;"""Heidi (Osment), who initially left her small town of Pleasant Valley with the dream of one day becoming a successful painter, has put her own art on hold to excel as an art gallery curator...                See full summary »";Sean Olson;https://m.media-amazon.com/images/M/MV5BYzMxOGVkNmYtNWFlZC00NTczLThhZmUtOGNiODcwNmVlM2FiXkEyXkFqcGdeQXVyMDc1MjE0MA@@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
Silver Bells;TV-G;95;Drama, Family;2005;Manhattanite Catherine O'Mara (Heche) bonds with a young man who has run away from his father. When the father returns to New York a year later to sell his Christmas trees, he and Catherine cross paths.;Dick Lowry;https://m.media-amazon.com/images/M/MV5BMmFkYmQ4ZDQtOGI3NS00OGYyLTgxNDMtNjNlMDUxZTQ1ZGVmXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
The Case of the Christmas Diamond;;90;Comedy, Drama, Mystery;2022;Andy finds herself accused of theft when a multimillion-dollar gem suddenly goes missing from her rich friend's estate. With the help of a famous mystery writer, Andy must find the real culprit amid the litany of wealthy guests.;Peter Sullivan;https://m.media-amazon.com/images/M/MV5BMzliNjc4NmEtMmI5OS00YzY3LTk0OTktZTQwZjZiMmVlZTkwXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR11,0,140,209_AL_.jpg;Movie
Christmas with a Prince;TV-PG;86;Comedy, Drama, Romance;2018;Pediatric specialist Tasha Miller is focused on keeping the kids in her ward as healthy as possible. But when the handsome Prince Alexander Cavalieri breaks his leg on a nearby ski-slope, ...                See full summary »;Justin G. Dyck;https://m.media-amazon.com/images/M/MV5BZDQ0ZGNkZGQtYTRiMi00NGE5LWE4MjMtM2YwNWQ4MmY2ODE1XkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UX140_CR0,0,140,209_AL_.jpg;Movie
